orig_cfs_code,dest_cfs_code,truck,rail,water,air
0199999,3399999,95.0,0.0,0.0,0.0
0199999,34408,474.0,58.0,0.0,0.0
0199999,34428,371.0,0.0,0.0,0.0
0199999,3499999,0.0,0.0,0.0,0.0
0199999,3599999,0.0,0.0,0.0,0.0
0199999,36104,60.0,33.0,0.0,0.0
0199999,36160,363.0,0.0,0.0,0.0
0199999,36408,439.0,0.0,0.0,1.0
0199999,36464,0.0,0.0,0.0,0.0
0199999,3699999,262.0,0.0,0.0,0.0
0199999,37172,732.0,119.0,0.0,0.0
0199999,37268,602.0,199.0,0.0,0.0
0199999,37450,196.0,4.0,0.0,0.0
0199999,3799999,1112.0,11.0,0.0,0.0
0199999,3899999,16.0,0.0,0.0,0.0
0199999,39178,150.0,0.0,0.0,12.0
0199999,39184,162.0,3.0,0.0,0.0
0199999,39198,242.0,48.0,0.0,0.0
0199999,39212,99.0,2.0,0.0,0.0
0199999,3999999,1165.0,0.0,0.0,2.0
0199999,40416,0.0,0.0,0.0,0.0
0199999,40538,44.0,0.0,0.0,0.0
0199999,4099999,256.0,0.0,0.0,0.0
0199999,4138900,71.0,0.0,0.0,0.0
0199999,4199999,33.0,0.0,0.0,0.0
0199999,42428,722.0,39.0,0.0,0.0
0199999,42430,98.0,0.0,0.0,0.0
0199999,4299999,927.0,79.0,0.0,1.0
0199999,4439300,20.0,0.0,0.0,0.0
0199999,4516700,411.0,144.0,0.0,0.0
0199999,45273,1112.0,460.0,0.0,0.0
0199999,4599999,706.0,0.0,0.0,0.0
0199999,4699999,24.0,0.0,0.0,0.0
0199999,4732820,596.0,34.0,0.0,0.0
0199999,47400,1058.0,29.0,0.0,0.0
0199999,4799999,2234.0,219.0,0.0,0.0
0199999,4812420,53.0,0.0,0.0,0.0
0199999,4813140,30.0,0.0,0.0,0.0
0199999,48204,0.0,0.0,0.0,0.0
0199999,48206,866.0,0.0,0.0,0.0
0199999,4821340,0.0,0.0,0.0,0.0
0199999,48288,716.0,353.0,214.0,0.0
0199999,4829700,535.0,0.0,0.0,0.0
0199999,4841700,200.0,0.0,0.0,0.0
0199999,4899999,872.0,60.0,54.0,0.0
0199999,49482,180.0,0.0,0.0,0.0
0199999,4999999,0.0,0.0,0.0,0.0
0199999,5099999,0.0,0.0,0.0,0.0
0199999,5140060,79.0,0.0,0.0,0.0
0199999,5147260,109.0,0.0,0.0,0.0
0199999,51548,132.0,27.0,0.0,0.0
0199999,5199999,325.0,10.0,0.0,0.0
0199999,53500,0.0,0.0,0.0,0.0
0199999,5399999,133.0,0.0,0.0,0.0
0199999,5499999,156.0,0.0,0.0,0.0
0199999,55376,161.0,0.0,0.0,1.0
0199999,5599999,433.0,143.0,0.0,0.0
0199999,5699999,0.0,0.0,0.0,0.0
0438060,01142,0.0,0.0,0.0,0.0
0438060,01380,0.0,0.0,0.0,0.0
0438060,0199999,28.0,0.0,0.0,0.0
0438060,0446060,6231.0,0.0,0.0,0.0
0438060,0499999,9675.0,0.0,0.0,0.0
0438060,0599999,0.0,0.0,0.0,0.0
0438060,06348,4804.0,0.0,0.0,2109.0
0438060,06472,297.0,0.0,0.0,0.0
0438060,0641740,747.0,0.0,0.0,9.0
0438060,06488,0.0,0.0,0.0,0.0
0438060,0699999,1343.0,0.0,0.0,0.0
0438060,08216,739.0,0.0,0.0,0.0
0438060,0899999,251.0,0.0,0.0,6.0
0438060,09278,0.0,0.0,0.0,0.0
0438060,09408,0.0,0.0,0.0,0.0
0438060,0999999,0.0,0.0,0.0,0.0
0438060,1099999,0.0,0.0,0.0,0.0
0438060,1147900,0.0,0.0,0.0,0.0
0438060,1227260,0.0,0.0,0.0,0.0
0438060,1233100,110.0,0.0,0.0,69.0
0438060,12422,50.0,0.0,0.0,4.0
0438060,1245300,22.0,0.0,0.0,0.0
0438060,1299999,0.0,0.0,0.0,0.0
0438060,13122,173.0,0.0,0.0,0.0
0438060,13496,0.0,0.0,0.0,0.0
0438060,1399999,8.0,0.0,0.0,0.0
0438060,1699999,81.0,0.0,0.0,0.0
0438060,17176,681.0,0.0,0.0,0.0
0438060,17476,3.0,0.0,0.0,0.0
0438060,1799999,0.0,0.0,0.0,0.0
0438060,18176,0.0,0.0,0.0,0.0
0438060,18294,80.0,0.0,0.0,0.0
0438060,1899999,0.0,0.0,0.0,0.0
0438060,1999999,375.0,0.0,0.0,0.0
0438060,20312,0.0,0.0,0.0,0.0
0438060,2099999,0.0,0.0,0.0,0.0
0438060,21350,0.0,0.0,0.0,0.0
0438060,2199999,60.0,0.0,0.0,11.0
0438060,22132,0.0,0.0,0.0,0.0
0438060,22324,0.0,0.0,0.0,0.0
0438060,22406,0.0,0.0,0.0,0.0
0438060,2299999,0.0,0.0,0.0,0.0
0438060,2399999,3.0,0.0,0.0,0.0
0438060,2412580,29.0,0.0,0.0,60.0
0438060,2447900,0.0,0.0,0.0,0.0
0438060,2499999,0.0,0.0,0.0,4.0
0438060,25148,61.0,0.0,0.0,14.0
0438060,2599999,0.0,0.0,0.0,0.0
0438060,26220,0.0,0.0,0.0,0.0
0438060,26266,0.0,0.0,0.0,0.0
0438060,2699999,0.0,0.0,0.0,0.0
0438060,27378,109.0,0.0,0.0,48.0
0438060,2799999,0.0,0.0,0.0,0.0
0438060,2899999,0.0,0.0,0.0,0.0
0438060,29312,0.0,0.0,0.0,0.0
0438060,29476,0.0,0.0,0.0,0.0
0438060,2999999,0.0,0.0,0.0,0.0
0438060,3099999,0.0,0.0,0.0,0.0
0438060,3199999,0.0,0.0,0.0,0.0
0438060,32332,2479.0,0.0,0.0,0.0
0438060,3299999,150.0,0.0,0.0,0.0
0438060,3399999,0.0,0.0,0.0,0.0
0438060,34408,56.0,0.0,0.0,0.0
0438060,34428,0.0,0.0,0.0,0.0
0438060,3499999,0.0,0.0,0.0,0.0
0438060,3599999,4923.0,63.0,0.0,3.0
0438060,36104,0.0,0.0,0.0,0.0
0438060,36160,0.0,0.0,0.0,0.0
